statement,label
"Traffic ( 2000 film ): The film explores the illegal drug trade and its impact on society, focusing on multiple storylines that intersect and overlap.",0
"Traffic ( 2000 film ): The film is set in the United States, Mexico, and Colombia, and follows the stories of several characters involved in the drug trade, including a Mexican kingpin (played by Benicio del Toro), a DEA agent (played by Michael Douglas), and a young Mexican girl (played by Eva Mendes) who becomes involved in the drug trade after her brother is killed by a drug cartel.",1
"Super Rich Kids: The song was released on August 12, 2012, and was produced by Ocean and Malay .",1
"Super Rich Kids: The song features a dreamy and atmospheric sound , with Ocean delivering introspective and poignant lyrics about the struggles of growing up in a wealthy family .",0
Super Rich Kids: The song received critical acclaim and is considered one of the standout tracks on Channel Orange .,0
Bricker Amendment: These amendments were proposed by Senator John Bricker of Ohio and were aimed at limiting the power of the federal government and protecting individual rights.,0
Bricker Amendment: The Bricker Amendment was a response to the growing concern among some Americans that the federal government was becoming too powerful and intrusive in people's lives.,0
Bricker Amendment: It was seen as a way to check the growth of federal power and to restore the principles of limited government and individual liberty enshrined in the Constitution.,0
Kristen Bell: She is known for her versatile acting skills and has appeared in a wide range of films and television shows .,0
"Kristen Bell: Bell has received critical acclaim for her performances in projects such as ""Veronica Mars"" , ""Forgetting Sarah Marshall"" , and ""The Good Place"" .",0
"Kristen Bell: Kristen Bell was born on July 18 , 1980 , in Huntington Woods , Michigan .",0
Kristen Bell: She grew up in a family of actors and began acting at a young age .,0
"The Conquest of Belgrade: The painting depicts the historic event of the Ottoman Empire's conquest of Belgrade in 1521, and it is considered one of Ivanović's most notable works.",0
The Conquest of Belgrade: Ivanović was born in 1817 in the Principality of Serbia and began her artistic career in the 1840s.,1
Cyclone Favio: Cyclone Favio formed in the Indian Ocean and intensified into a tropical cyclone as it moved southwestward towards Madagascar.,0
"Cyclone Favio: After crossing the coast of Mozambique, Cyclone Favio made landfall in South Africa as a Category 3 tropical cyclone, bringing heavy rainfall and strong wind",1
Flu Shot ( 30 Rock ): The episode was written by Tina Fey and directed by Paul Feig .,1
"Battle of the Bowling Alley: The battle took place in the early stages of the war, when both sides were still mobilizing their forces and testing each other's strength.",0
"Battle of the Bowling Alley: The NK forces had launched a surprise attack on the city of Taegu, which was a key strategic location in southern Korea.",0
"Battle of the Bowling Alley: The UN forces, led by General Mark W.",1
"2000 UEFA Cup Final riots: The riots began after the final whistle of the match, which Arsenal won 1-0, and escalated into violent clashes between the two sets of fans.",1
"2000 UEFA Cup Final riots: The riots resulted in injuries to both fans and police, as well as significant property damage.",0
"2000 UEFA Cup Final riots: The incident was widely condemned by UEFA and the football world, and led to increased security measures at football matches.",0
2011 Team Europcar season: Here is a breakdown of the season's races and notable performances:,0
"2011 Team Europcar season: * La Tropicale Amissa Bongo (January): The team's first race of the season took place in Gabon, where they had two riders in the top 10.",0
"2011 Team Europcar season: * Critérium du Dauphiné (June): The team had several riders in the top 10, including Arash",0
"Gliese 876 b: Located approximately 15 light-years from Earth in the constellation of Pegasus, Gliese 876 b is one of the closest exoplanets to our solar system and has been the subject of extensive research due to its unique properties.",1
"Gliese 876 b: Gliese 876 b is a gas giant planet, with a mass approximately 3.15 times that of Jupiter and a radius of approximately 1.2 times that of Jupiter.",1
"Aubrey Gibson: He was born in Melbourne , Victoria and was the son of a wealthy businessman .",1
Aubrey Gibson: Gibson was educated at Melbourne Grammar School and later studied law at the University of Melbourne .,0
"Aubrey Gibson: After completing his studies , he worked as a lawyer in Melbourne before moving to Sydney in 1927 to work for the family business .",1
Aubrey Gibson: Gibson was a prominent figure in Sydney's art world and was known for his support of Australian artists .,0
"Das Bus: It originally aired on February 21, 1998, and was written by Ian Maxtone-Graham and directed by Mark Kirkland .",1
"Das Bus: The episode features several historical figures and events, including Albert Einstein, the Titanic, and the Cuban Missile Crisis .",1
"Das Bus: The episode received generally positive reviews from critics and fans, and is often cited as one of the best episodes of the show's ninth season .",0
"Battle of Khafji: It took place on 29 January 1991, when the Iraqi army launched a surprise attack on the Saudi town of Khafji, which was defended by a coalition force of American, British, and Saudi troops.",0
Battle of Khafji: The battle lasted for several hours and resulted in the Iraqis being pushed back with heavy losses.,0
"Battle of Khafji: The coalition forces suffered minimal casualties, and the battle was seen as a significant victory for the coalition.",0
"Battle of Khafji: The battle was notable for its speed and surprise, as well as the effective coordination between the different branches of the military.",0
"Alex Rhodes ( footballer ): Rhodes began his career at Watford , making his professional debut in 1999 .",1
Alex Rhodes ( footballer ): He went on to play for several clubs in England and Scotland before joining Margate in 2017 .,1
"Alex Rhodes ( footballer ): Rhodes has also represented England at various youth levels , including the under-21 team .",0
"Number 1 ( Goldfrapp song ): The song features a catchy and upbeat melody, with a prominent use of synthesizers and a driving beat.",0
"Number 1 ( Goldfrapp song ): The lyrics of ""Number 1"" are somewhat enigmatic and open to interpretation, but they seem to be about the thrill of reaching the top of the charts and the accompanying fame and adoration.",0
"Cyclone Japhet: The storm formed in the Indian Ocean and moved southwestward, making landfall in Mozambique as a Category 2 cyclone on March 14, 2003.",1
"Cyclone Japhet: Japhet caused significant damage and flooding in the affected areas, particularly in the provinces of Gaza and Inhambane.",1
"Cyclone Japhet: The cyclone also caused power outages and disrupted communication services, leaving many people without access to basic necessities such as food, water, and shelter.",0
"Cyclone Japhet: The storm also caused significant damage to infrastructure, including roads, bridges, and buildings.",0
"Greece in the Eurovision Song Contest 2006: Vissi performed 11th in the semi-final and qualified for the final, where she finished in 5th place with 200 points.",1
"Greece in the Eurovision Song Contest 2006: ""Everything"" was written and produced by Vissi herself, along with Stavros Papagiannis and Nikos Terzis.",1
Greece in the Eurovision Song Contest 2006: The song is a pop ballad that features Vissi's powerful vocals and emotional delivery.,0
"The Secret of the Nagas: The novel is set in ancient India and follows the story of Shiva, a young man who is destined to be the destroyer of evil and the savior of the world.",0
"The Secret of the Nagas: In The Secret of the Nagas, Shiva is on a quest to find the Nagas, a race of powerful beings who are believed to have the power to grant immortality.",0
"The Secret of the Nagas: Along the way, he encounters various challenges and obstacles, including the evil snake god, Vasuki, who seeks to destroy him.",0
"The Secret of the Nagas: The novel explores themes of good vs.evil, faith, and the power.",0
"Voltaire P: Despite his significant contributions to the Union cause , Twombly's life remains largely unknown to the public .",0
New York State Route 186: The route runs for approximately 25 miles (40 km) from the Canadian border to the village of Ogdensburg,1
El Celler de Can Roca: The restaurant is located in the heart of Girona's historic district and has been recognized as one of the best restaurants in the world .,0
El Celler de Can Roca: The Roca brothers are known for their innovative cuisine which combines traditional Catalan flavors with modern techniques and ingredients .,0
"El Celler de Can Roca: They have been awarded three Michelin stars and have been named the ""Best Restaurant in the World"" by the World's 50 Best Restaurants organization .",0
"El Celler de Can Roca: El Celler de Can Roca has a unique dining experience , with a menu that changes seasonally and a wine cellar that offers over 1",0
Sang Penari: The film tells the story of a young woman named Siti from a small village in East Java who dreams of becoming a professional dancer.,0
"Sang Penari: Despite the disapproval of her traditionalist father, Siti pursues her passion and eventually becomes a renowned dancer, known for her grace and beauty on stage.",1
"Sang Penari: However, her success comes at a cost, as she must navigate the challenges of fame and the expectations of those around her.",0
"Sang Penari: The film explores themes of identity, tradition, and the struggle for independence in contemporary Indonesia.",0
"Who We Are ( Lifehouse album ): Released on August 26, 2007, through DreamWorks Records, the album marked a departure from the band's previous sound, incorporating more electronic and experimental elements into their music.",1
"Who We Are ( Lifehouse album ): The album was produced by John Fields, who had previously worked with the band on their third album, Stanley Climbfall .",0
"Who We Are ( Lifehouse album ): The recording process was reportedly challenging, with the band experimenting with new sounds and techniques.",0
"Flat Holm: The island is approximately 1.5 km ( 1 mi ) long and 0.5 km ( 0.3 mi ) wide, and covers an area of 110 acres ( 45 hectares ) .",1
"Flat Holm: Flat Holm is known for its unique geology and biodiversity, and has been designated as a Site of Special Scientific Interest ( SSSI ) and a Special Area of Conservation ( SAC ) due to its importance for wildlife.",0
"One Rincon Hill: Located in the South of Market (SoMa) neighborhood, One Rincon Hill offers luxury condominiums with stunning views of the San Francisco Bay and the city skyline.",0
"One Rincon Hill: The complex features a sleek and modern design, with large windows and open spaces that maximize natural light and provide breathtaking views.",0
"Richard von Weizsäcker: Born in Berlin , von Weizsäcker came from a prominent political family .",1
"Richard von Weizsäcker: His father , Ernst von Weizsäcker , was a diplomat and politician who served as Foreign Minister of Germany from 1950 to 1958 .",1
Richard von Weizsäcker: Von Weizsäcker studied law and economics at the University of Berlin and later served in the German military during World War II .,1
"2009 NCAA Division I Men 's Lacrosse Championship: The tournament was the 39th annual NCAA Division I Men 's Lacrosse Championship, and it determined the national champion for the 2009 NCAA Division I men 's lacrosse season.",0
"2009 NCAA Division I Men 's Lacrosse Championship: The tournament featured 16 teams, with the University of Virginia defeating the University of Maryland in the championship game to win the national title.",1
"Man on the Moon : The End of Day: The album was a critical and commercial success , debuting at number four on the US Billboard 200 chart and eventually being certified gold by the RIAA .",0
"Man on the Moon : The End of Day: The album features guest appearances from Kanye West , Common , and Dot da Genius among others .",0
"Man on the Moon : The End of Day: The album's lead single "" Day 'n' Nite "" was a breakout hit and helped establish Kid Cudi as a rising star in the hip hop scene .",0
1983 Pacific typhoon season: This is because the warm waters of the Pacific Ocean provide the necessary conditions for tropical cyclones to develop and intensify .,0
"1983 Pacific typhoon season: During this time , the Philippines and other countries in the region are at risk of being affected by these powerful storms .",0
1983 Pacific typhoon season: It is important for residents and authorities to be prepared for the season by having emergency plans in place and monitoring weather forecasts closely .,0
"Fort Bayard ( Washington , D: The fort was built to protect the capital city from potential Confederate attacks and was one of several forts and batteries constructed in the area.",0
"Fort Bayard ( Washington , D: The fort was equipped with several guns, including 10-inch and 32-pounder rifled cannons, which were used to defend the fort and the surrounding area.",1
Big Thunder Ski Jumping Center: The facility was built in the early 1970s and was used for both national and international competitions.,1
"Pero Me Acuerdo de Ti: The song's lyrics speak of a past love that the speaker cannot forget, and the melody features a catchy and memorable chorus.",0
Pero Me Acuerdo de Ti: The song has been covered by several artists and remains a popular choice for weddings and other special occasions.,0
Davis v: This is a serious issue as it raises concerns about racial bias in the criminal justice system .,0
Davis v: The Supreme Court 's decision in this case is problematic as it suggests that the exclusion of Blacks and Hispanics from the jury did not violate the defendant 's constitutional rights .,0
Davis v: The case of Davis v. Ayala highlights the ongoing struggle for racial justice in the United States .,0
Davis v: The exclusion of Blacks and Hispanics from the jury in this case is a clear example of systemic racism and discrimination in the criminal justice system .,0
"Either / Or: Written in 1843, it is a philosophical novel that explores the themes of existence, identity, and the nature of choice .",1
"Christian interpretations of Virgil 's Eclogue 4: It is one of the most famous and influential poems in Latin literature, and has been interpreted in many different ways by scholars and readers over the centuries.",0
"Christian interpretations of Virgil 's Eclogue 4: In Christian interpretations, the poem is often seen as a prophecy of the coming of Christ and the end of the world.",0
"Christian interpretations of Virgil 's Eclogue 4: Some scholars believe that the poem contains hidden references to Jesus Christ and the events of his life, such as the birth of a new age and the reign of peace.",0
"Hogettes: The Hogettes were known for their elaborate and humorous costumes, which they wore to Redskins games and other sporting events.
label：1

Their outfits typically included women 's dresses, often in bright colors and with elaborate designs, along with garden party hats and pig snouts.",0
"Hogettes: In addition to their entertainment value, the Hogettes were also dedicated to raising money for charity.",0
"Fuck ( film ): The film explores the history, cultural significance, and controversy surrounding the use of the word, which is considered one of the most offensive in the English language.",0
"Fuck ( film ): Anderson, a filmmaker and artist, became fascinated with the word ""fuck"" after realizing that it was the most censored and controversial term in American culture.",0
"Fuck ( film ): He set out to explore the origins of the word, its use in different contexts, and the reactions it elicits from people.",0
"Southeast Asia Treaty Organization: The organization was established with the aim of promoting peace and stability in the region, and to provide a collective defense mechanism against external threats.",0
"Southeast Asia Treaty Organization: SEATO was formed by the original signatories of the Manila Pact, which included Australia, New Zealand, Pakistan, the Philippines, Thailand, and the United Kingdom.",0
"Southeast Asia Treaty Organization: The organization was headquartered in Bangkok, Thailand, and its membership later expanded to include other countries in the region, such as Indonesia, Malaysia, and Singapore.",1
"Spotted green pigeon: The spotted green pigeon was a medium-sized bird with a distinctive green and white plumage, with black spots on its back and wings.",1
"Spotted green pigeon: It was found in the forests of the Indian Ocean islands, including the Seychelles, Mauritius, and Reunion.",1
"Spotted green pigeon: The bird was known for its unique call, which sounded like a loud ""coo-oo-oo.""",1
"Vanilla production in French Polynesia: Vanilla is one of the main crops grown in French Polynesia, and it plays a significant role in the country's economy.",0
"Vanilla production in French Polynesia: The crop is primarily grown on the islands of Tahiti and Moorea, where the climate and soil conditions are ideal for its cultivation.",1
"Blackadder II: The series follows the misadventures of the Blackadder family, specifically the antics of the titular character, Edmund Blackadder, played by Rowan Atkinson, and his dim-witted but lovable servant, Baldrick, played by Tony Robinson.",0
"Blackadder II: The series is known for its clever writing, witty dialogue, and historical references, and is widely regarded as one of the greatest British sitcoms of all time.",0
"Sekula Drljević: He was born in the town of Nikšić, which is located in the western part of Montenegro .",1
Sekula Drljević: Drljević studied law at the University of Belgrade and later became a prominent figure in Montenegrin politics .,1
"Sekula Drljević: During his political career , Drljević served as the Prime Minister of Montenegro on two occasions ( 1921-1922 and 1925-1926 ) .",1
"Shannon Moore: In 2006 , Moore left WWE and began competing for Total Nonstop Action Wrestling ( TNA ) .",0
"Rhonda Sing: She was born in Winnipeg , Manitoba , Canada and began her wrestling career in the late 1970s .",1
"Rhonda Sing: Sing was known for her athleticism and technical grappling skills , and was a popular performer in the Canadian and American wrestling scenes .",0
"Blue Gardenia ( album ): The album was produced by John Chelew and features James' soulful vocals on a selection of blues, jazz, and R&B standards.",1
"Blue Gardenia ( album ): The album was recorded in 2000 at the legendary Capitol Studios in Los Angeles, and features a number of notable musicians, including guitarist Ray Parker Jr., keyboardist George Duke, and drummer James Gadson.
lable: 0
text: ""guitarist Ray Parker Jr., keyboardist George Duke, and drummer James Gadson""

The album's title track, ""Blue Gardenia,"" is a slow, sultry ballad that showcases James' vocal range and emotional delivery.",0
"Cedric Howell: Born in Melbourne, Australia, Howell enlisted in the Australian Flying Corps in 1916 and quickly proved himself to be a skilled and daring pilot.",1
"Cedric Howell: He was credited with shooting down 13 enemy aircraft, making him an ace and one of the top-scoring pilots of the war.",1
"Cedric Howell: Howell was also awarded the Distinguished Service Order (DSO), the Military Cross (MC), and the Distinguished Flying Cross (DFC) for his bravery and flying skills.",0
"Ultime grida dalla savana: They typically featured graphic and often disturbing footage of real-life events, such as violence, sexuality, and death.",0
"Ultime grida dalla savana: The term ""Mondo"" is Italian for ""world,"" and these films were often marketed as a window into the ""real world"" of the developing world, showcasing the supposedly primitive and savage customs of people in Africa, Asia, and Latin America.",0
"Light House : A Trifle: From bizarre auditions to backstage drama , the novel pokes fun at the excesses and absurdities of the film industry .",1
History of Edinburgh Zoo: The zoo was founded by the Royal Zoological Society of Scotland and was originally known as the Edinburgh Zoological Society .,0
"History of Edinburgh Zoo: After several years of fundraising and planning , the zoo finally opened its gates to the public on 22 July 1913 .",0
"History of Edinburgh Zoo: The zoo's original collection included animals such as lions , tigers , bears , and monkeys .",1
"June 1941 uprising in eastern Herzegovina: The uprising was a response to the discriminatory policies of the NDH towards Serbs, who were subjected to forced conversions to Catholicism, expulsions from their homes, and other forms of persecution.",0
"Halo : Ghosts of Onyx: The story takes place in the year 2552 and follows the crew of the Pillar of Autumn , a human ship that is attacked by the Covenant , an alien race that is at war with humanity .",1
"Halo : Ghosts of Onyx: The crew manages to escape the attack , but they are drawn into a dangerous game of cat and mouse with the Covenant .",0
"HMCS Integrity ( 1804 ): The cutter was used for various purposes, including law enforcement and patrolling the coast of New South Wales.",0
"Operation Tungsten: The attack was launched from bases in Scotland and Norway, and involved a total of 22 aircraft.",1
Molwyn Joseph: Joseph has been involved in politics since the 1970s and has held various positions within the Antigua Labour Party (ALP).,1
Molwyn Joseph: He was re-elected to the House of Representatives in 1981 and served until 1989.,1
"Cyclone Peter: The storm caused widespread damage and disruption, with thousands of homes and businesses affected.",0
"Shah Rukh Khan: Born in New Delhi , India , Khan began his acting career in the early 1980s , appearing in several television shows and films .",1
"Shah Rukh Khan: He gained widespread recognition and critical acclaim for his performance in the 1992 film ""Dilwale Dulhania Le Jayenge"" , which became a major box office hit .",0
"Irving Kane Pond: In addition to his work as an architect , Pond was also an author and wrote several books on architecture and sports .",0
"Glorious Revolution in Scotland: This revolution saw the overthrow of King James II of England and VII of Scotland, who was deposed and replaced by his daughter Mary II and her husband William III .",1
"Hurricane Dean ( 1989 ): According to the passage, Hurricane Dean formed in 1989, making it a historical event.",0
"Hurricane Dean ( 1989 ): Here is the passage from Wikipedia:""Hurricane Dean was the fourth named storm and second hurricane of the 1989 Atlantic hurricane season.",0
"Hurricane Dean ( 1989 ): The storm formed on August 16, 1989, in the Atlantic Ocean and moved west-northwestward across the Caribbean Sea and Gulf of Mexico.",1
"Robert Cade: He is best known for his invention of Gatorade , a sports drink that was first developed in the early 1960s at the University of Florida .",0
"Robert Cade: Cade was born in St .Petersburg , Florida and grew up in Tampa .",1
Robert Cade: He earned his undergraduate degree from the University of Florida and his medical degree from the University of Miami .,1
"Robert Cade: After completing his medical training , Cade joined the faculty at the University of Florida , where he established the first academic department of medicine .",1
Mitch Daniels: is an American politician and businessman who served as the 49th Governor of Indiana from 2005 to 2013.,0
Mitch Daniels: He is a member of the Republican Party and has been mentioned as a potential candidate for the presidency in 2020.,1
Mitch Daniels: Daniels was born in 1949 in Indiana and graduated from Purdue University with a degree in political science.,1
"Tropical Storm Harvey ( 1999 ): Harvey brought heavy rainfall and strong winds to the region, causing widespread flooding and power outages .",0
"Tropical Storm Harvey ( 1999 ): The storm made landfall in southern Florida on August 30, 1999, and slowly moved northward through the state, causing additional flooding and damage .",1
"Tropical Storm Harvey ( 1999 ): The storm's rainfall totalled over 10 inches in some areas, with the highest amounts recorded in the Florida Keys .",1
"Louise Glover: She was born in London , England .",1
"Louise Glover: Glover began her modeling career at the age of 16 , when she was discovered by a modeling agent while shopping at a London mall .",1
"Louise Glover: She has since appeared on the covers of numerous fashion magazines , including British Vogue and Elle .",0
Louise Glover: Glover has also walked the runway for top designers such as Chanel and Christian Dior .,1
"Alive or Just Breathing: Released on May 22, 2002, through Roadrunner Records, the album marked a significant departure from the band's earlier sound, showcasing a more mature and refined style that blended elements of metalcore and melodic death metal .",1
"Alive or Just Breathing: The album was produced by Adam Dutkiewicz and Killswitch Engage, and featured artwork by artist Ryan Clark .",1
The Beast Below: The episode was written by Chris Chibnall and directed by Colm McCarthy .,1
The Beast Below: It was first broadcast on 27 November 2010 on BBC One .,0
The Beast Below: The episode follows the Doctor (played by Matt Smith) and his companion Amy Pond (played by Karen Gillan) as they investigate a strange spaceship that has appeared in the skies above Earth .,0
"Jean Ambroise Baston de Lariboisière: He was born on March 20, 1794, in Paris, France, and died on October 27, 1875, in Paris.",1
"Jean Ambroise Baston de Lariboisière: Lariboisière was a prominent military officer during the Napoleonic Wars and served in various campaigns and battles, including the Battle of Austerlitz, the Battle of Jena, and the Battle of Borodino.",1
Minnesota Golden Gophers men 's basketball: The team competes in the NCAA Division I Big Ten Conference and plays their home games at Williams Arena .,0
Minnesota Golden Gophers men 's basketball: The team is led by head coach Richard Pitino and has a rich basketball tradition dating back to 1909 .,1
Denmark Street: It is located in the City of Westminster and is known for its historic association with the music industry.,0
"Denmark Street: The street is home to many recording studios, music publishers, and other businesses related to the music industry.",0
"Denmark Street: It is also home to the famous Denmark Street Studios, where many famous musicians have recorded their music.",1
"Joseph Maxwell: Maxwell was born on 10 February 1896 in Melbourne, Victoria, Australia.",1
"Joseph Maxwell: He enlisted in the Australian Imperial Force during World War I and served in the 2nd Battalion, Australian Infantry Regiment.",1
Stainforth and Keadby Canal: The canal was constructed in the late 18th century and was designed to provide a direct route for boats to travel between the Rivers Trent and Ouse .,0
Stainforth and Keadby Canal: The canal is approximately 13 miles (21 km) long and connects the towns of Stainforth and Keadby .,1
"Stainforth and Keadby Canal: The canal was built to facilitate the transportation of goods such as coal, iron, and limestone .",1
"Giant mouse lemur: They are found only on the island of Madagascar and are known for their large size, with some species reaching body lengths of up to 30 cm (12 in) and weighing up to 200 grams (7 oz).",1
"Giant mouse lemur: Despite their small size, giant mouse lemurs are highly specialized and have a number of unique adaptations that allow them to survive in their environment.",1
"Giant mouse lemur: One of the most distinctive features of giant mouse lemurs is their long, thin fingers and toes, which are well-suited for climbing and grasping.",0
"Bud Grant: Grant was born in Superior, Wisconsin and played college football at Carroll College in Wisconsin.",1
"Evan Gattis: Gattis was born in Pearland , Texas and attended Brazoswood High School in Clute , Texas .",1
"Hurricane Pauline: Hurricane Pauline was a rare example of a Pacific hurricane making landfall in Mexico, as most Pacific hurricanes typically dissipate before reaching the coast.",0
Caerphilly Castle: It is a Grade I listed building and is considered to be one of the most important historical sites in Wales .,0
Caerphilly Castle: The castle is situated on a hill overlooking the River Usk and is surrounded by a large moat .,0
"Caerphilly Castle: It has a complex layout with several concentric walls and towers , including the Great Hall , the Chapel of St.John the Baptist , and the Solar Tower .",1
"A + No Poder: Released on November 17, 2017, through Sony Music Latin , the album was produced by various artists, including Andrés Levin , Juan Luis Guerra , and Kiko Cibrian .",1
"A + No Poder: The album's lead single, ""A + No Poder,"" was released on September 29, 2017, and peaked at number 10 on the US Billboard Latin Pop Airplay chart .",1
"A + No Poder: The album also includes the tracks ""Sin Perdón,"" ""Duele el Corazón,"" and ""Perdóname,"" among others .",1
